population,n_responder,n_non_responder,median_responder,median_non_responder,iqr_responder,iqr_non_responder,u_statistic,p_value,cliffs_delta,q_value
b_cell,331,325,9.785,9.7582,4.2117,4.0301,55244.0,0.5485,0.0271,0.8853
cd8_t_cell,331,325,24.3957,24.601,6.7825,5.3268,52203.0,0.514,-0.0295,0.8853
cd4_t_cell,331,325,29.6338,29.5305,6.8157,6.244,54414.0,0.7964,0.0116,0.8853
nk_cell,331,325,14.9973,14.8905,6.0152,4.6345,53437.0,0.8853,-0.0065,0.8853
monocyte,331,325,19.6056,20.286,6.4579,5.1987,50754.0,0.2114,-0.0564,0.8853
